"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Jhin","ADC",12,"31.6%","5.3%","36.8%","67%","58%",41,19,80,6.4,"70.3%","13.9%","25%",64,-97,4.5,8.7,"29.1%",467,"24.7%","24.7%",0.46,0.28
"Kalista","ADC",1,"2.6%","23.7%","26.3%","0%","0%",2,2,1,1.5,"100.0%","22.2%","0%",202,74,19,9.9,"29.4%",333,"26.3%","30.7%",0.83,0.31
"Karma","Support",1,"2.6%","0.0%","2.6%","100%","0%",1,2,23,12,"88.9%","22.2%","0%",79,315,0,1.4,"6.9%",171,"7.2%","11.7%",1.08,0.13
"Karthus","Jungle",1,"2.6%","5.3%","7.9%","0%","100%",3,6,6,1.5,"90.0%","20.0%","0%",294,931,25,6.8,"22.8%",497,"24.7%","25.5%",0.28,0.04
"Kassadin","Middle",3,"7.9%","7.9%","15.8%","100%","67%",29,8,11,5,"56.3%","20.5%","67%",200,291,7.7,9.3,"28.0%",693,"27.0%","26.5%",0.28,0.36
"Kayle","Top",1,"2.6%","0.0%","2.6%","0%","100%",2,5,2,0.8,"40.0%","26.3%","0%",-370,-462,-21,8.5,"29.5%",389,"22.9%","24.1%",0.48,0.24
"Kindred","Jungle",6,"15.8%","2.6%","18.4%","83%","50%",21,12,38,4.9,"64.1%","22.6%","50%",-99,-197,-0.2,6.2,"20.1%",340,"17.3%","20.4%",0.27,0.47
"Kog'Maw","Middle",1,"2.6%","0.0%","2.6%","0%","100%",1,2,3,2,"57.1%","14.3%","0%",-209,-169,-12,8.8,"29.3%",530,"32.0%","23.5%",0.48,0.05
"LeBlanc","-",0,"0%","2.6%","2.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",4,"10.5%","5.3%","15.8%","25%","75%",13,15,19,2.1,"59.3%","22.1%","25%",-249,-503,-14,5.2,"15.8%",244,"12.9%","18.0%",0.54,0.38
