"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sejuani","Jungle",1,"2.1%","0.0%","2.1%","0%","100%",0,4,4,1,"80.0%","40.0%","0%",-56,-189,-3,5.1,"11.8%",127,"7.6%","15.3%",0.3,0.24
"Senna","ADC",22,"45.8%","16.7%","62.5%","64%","36%",81,39,165,6.3,"82.6%","13.7%","18%",44,36,0,7.8,"23.4%",565,"25.8%","24.0%",0.43,0.32
"Sett","Jungle",12,"25.0%","47.9%","87.5%","67%","0%",24,33,83,3.2,"71.3%","23.2%","58%",-86,-187,-3.6,5,"13.6%",240,"12.5%","16.2%",0.34,0.47
"Sett","Middle",2,"4.2%","47.9%","87.5%","50%","0%",5,4,14,4.8,"65.5%","22.2%","0%",-42,61,-1,7.2,"18.8%",342,"17.8%","19.9%",0.4,0.09
"Sett","Top",5,"10.4%","47.9%","87.5%","20%","20%",9,20,30,2,"67.2%","27.0%","20%",-165,-65,-0.6,7.1,"22.3%",485,"22.8%","21.6%",0.41,0.21
"Shen","Jungle",2,"4.2%","58.3%","93.8%","100%","50%",5,3,23,9.3,"73.7%","13.6%","50%",-716,-281,-7.5,5.3,"15.2%",209,"8.8%","16.5%",0.3,0.28
"Shen","Top",15,"31.3%","58.3%","93.8%","60%","27%",35,37,123,4.3,"74.5%","20.8%","40%",-30,60,-2.7,7.8,"25.4%",364,"18.7%","21.8%",0.43,0.17
"Skarner","Jungle",1,"2.1%","0.0%","2.1%","100%","100%",0,1,12,12,"66.7%","14.3%","0%",129,390,-14,5.3,"15.7%",220,"10.8%","16.2%",0.79,0.19
"Swain","Middle",1,"2.1%","2.1%","4.2%","100%","100%",7,1,5,12,"75.0%","20.0%","100%",977,10,-6,8.5,"25.7%",529,"32.7%","27.5%",0.52,0.18
"Sylas","Middle",2,"4.2%","2.1%","6.2%","0%","100%",6,8,2,1,"66.7%","25.0%","50%",-769,-267,-11.5,7.3,"21.7%",421,"27.4%","22.2%",0.51,0.2
"Syndra","Middle",9,"18.8%","6.3%","25.0%","56%","56%",37,17,44,4.8,"66.9%","19.5%","33%",125,-14,3.4,9,"27.8%",607,"28.8%","25.3%",0.44,0.16
"Tahm Kench","Support",10,"20.8%","25.0%","45.8%","60%","50%",3,23,68,3.1,"56.8%","18.5%","20%",-23,-58,-0.4,0.9,"2.2%",113,"5.9%","7.4%",1.48,0.23
"Thresh","Support",16,"33.3%","31.3%","64.6%","56%","31%",16,38,133,3.9,"71.0%","25.2%","31%",100,-16,3.4,1.1,"2.7%",110,"6.0%","8.7%",1.39,0.37
"Trundle","Jungle",1,"2.1%","10.4%","12.5%","100%","100%",2,0,8,10,"71.4%","0.0%","0%",6,-245,-22,4.5,"10.9%",128,"7.4%","15.1%",0.26,0.26
"Twisted Fate","Middle",16,"33.3%","27.1%","60.4%","75%","19%",54,24,126,7.5,"73.5%","13.8%","50%",400,21,-1.8,8.9,"26.6%",466,"22.9%","26.4%",0.37,0.13
"Viktor","Middle",1,"2.1%","0.0%","2.1%","0%","100%",1,4,2,0.8,"75.0%","20.0%","0%",-122,-281,-7,8.8,"25.9%",476,"32.9%","25.2%",0.32,0.06
"Vladimir","Top",3,"6.3%","0.0%","6.3%","33%","100%",6,11,14,1.8,"58.8%","22.4%","0%",-13,54,1,8,"25.4%",563,"26.1%","22.9%",0.42,0.14
"Volibear","Jungle",13,"27.1%","2.1%","31.3%","54%","69%",24,18,93,6.5,"74.1%","15.5%","23%",-182,-294,-4.6,5,"13.6%",235,"13.3%","16.3%",0.28,0.31
"Volibear","Top",1,"2.1%","2.1%","31.3%","0%","0%",0,1,0,0,"0.0%","7.1%","0%",-776,-371,-17,6.7,"23.4%",438,"29.8%","19.4%",0.58,0.14
"Wukong","Top",1,"2.1%","0.0%","2.1%","0%","100%",2,5,2,0.8,"57.1%","27.8%","0%",-1957,-919,-31,6.8,"26.0%",370,"21.0%","22.4%",0.41,0.11
"Xayah","ADC",2,"4.2%","0.0%","4.2%","50%","100%",3,3,9,4,"66.7%","12.0%","0%",169,-114,9,9.6,"30.6%",452,"26.4%","26.0%",0.5,0.27
"Yuumi","Support",5,"10.4%","2.1%","12.5%","40%","20%",3,6,41,7.3,"73.3%","9.7%","20%",-84,411,-11.6,0.2,"0.5%",268,"12.1%","7.7%",1.15,0.03
"Ziggs","Middle",2,"4.2%","0.0%","4.2%","100%","100%",0,3,11,3.7,"57.9%","15.8%","0%",99,169,0.5,9.8,"30.2%",631,"32.6%","23.5%",0.49,0.18
"Zilean","Middle",6,"12.5%","27.1%","39.6%","83%","50%",22,6,53,12.5,"74.3%","8.7%","17%",-36,118,-7.2,8.8,"28.3%",446,"21.8%","23.5%",0.42,0.13
"Zoe","Middle",7,"14.6%","6.3%","20.8%","14%","43%",16,16,30,2.9,"64.8%","16.0%","29%",-107,-205,2.3,7.6,"21.7%",618,"29.3%","21.9%",0.42,0.15
"Zyra","Support",1,"2.1%","0.0%","2.1%","0%","100%",0,5,2,0.4,"40.0%","33.3%","0%",237,103,-6,0.8,"3.1%",316,"16.8%","8.1%",2.02,0.54
